거래일자,거래시간,연료원,전력거래량(MWh)
2025-01-06,10,신재생(기타),161.689472
2025-01-06,10,신재생(태양광),45.210403
2025-01-06,10,신재생(풍력),84.731477
2025-01-06,11,LNG,92.029616
2025-01-06,11,기타,156.802642
2025-01-06,11,신재생(기타),161.629664
2025-01-06,11,신재생(태양광),54.056441
2025-01-06,11,신재생(풍력),84.154736
2025-01-06,12,LNG,71.512672
2025-01-06,12,기타,180.718835
2025-01-06,12,신재생(기타),161.771736
2025-01-06,12,신재생(태양광),75.168091
2025-01-06,12,신재생(풍력),81.494216
2025-01-06,13,LNG,71.525216
2025-01-06,13,기타,191.730929
2025-01-06,13,신재생(기타),161.794304
2025-01-06,13,신재생(태양광),65.246746
2025-01-06,13,신재생(풍력),89.385875
2025-01-06,14,LNG,71.51872
2025-01-06,14,기타,242.151204
2025-01-06,14,신재생(기타),123.970392
2025-01-06,14,신재생(태양광),144.087417
2025-01-06,14,신재생(풍력),95.605922
2025-01-06,15,LNG,71.509984
2025-01-06,15,기타,250.734033
2025-01-06,15,신재생(기타),107.325172
2025-01-06,15,신재생(태양광),133.247689
2025-01-06,15,신재생(풍력),94.759552
2025-01-06,16,LNG,81.77176
2025-01-06,16,기타,232.757966
2025-01-06,16,신재생(기타),151.6218
2025-01-06,16,신재생(태양광),70.092887
2025-01-06,16,신재생(풍력),89.737481
2025-01-06,17,LNG,123.542034
2025-01-06,17,기타,226.211651
2025-01-06,17,신재생(기타),161.889124
2025-01-06,17,신재생(태양광),31.897255
2025-01-06,17,신재생(풍력),90.75936
2025-01-06,18,LNG,165.69126
2025-01-06,18,기타,215.981318
2025-01-06,18,신재생(기타),179.24826
2025-01-06,18,신재생(태양광),4.158344
2025-01-06,18,신재생(풍력),93.319185
2025-01-06,19,LNG,171.83096
2025-01-06,19,기타,223.115763
2025-01-06,19,신재생(기타),191.995268
2025-01-06,19,신재생(태양광),1.778305
